,product,scenario_id,nudge_id,event_id,event_id_description,variable,nudge_title,nudge_description
0,agentOffering,offering,nudge_4956,EVT_15224,"네이버 날씨, 케이웨더 등 날씨 관련 어플이나 웹페이지 경험이 있고, 한 주의 날씨가 궁금하며, 주의보/경보가 발효된 지역의 고객","{""titleTextPolite"":""{{SEVERE_WEATHER}}{{SEVERE_WEATHER_STRESS_CODE}} 발령<br>강풍과 폭우 예정이니<br>각별히 주의하세요"",""contents"":""{{CARD_TODAY_WEATHER}}"",""description"":""네이버 날씨, 케이웨더 등 날씨 관련 어플이나 웹페이지 경험이 있고, 한 주의 날씨가 궁금하며, 주의보/경보가 발효된 지역의 고객""}",weather_25,#날씨#태풍주의보/경보
1,agentOffering,offering,nudge_5001,EVT_15153,"통화 내용 중에 일정 관련 정보가 있으며, 에이닷에서 통화 요약에 가입해 해당 기능을 사용했으며, 통화 요약이 생성된 고객","{""titleTextPolite"":""통화 중 언급된<br>중요한 내용을 모아봤어요<br>한 번 더 체크해 보세요"",""contents"":""{{CARD_AI_CALLBRIEF}}"",""description"":""통화 내용 중에 일정 관련 정보가 있으며, 에이닷에서 통화 요약에 가입해 해당 기능을 사용했으며, 통화 요약이 생성된 고객""}",briefing_7,#Info #통화요약 #중요 통화 내용 AI 제안
2,agentOffering,offering,nudge_4966,EVT_15239,"출퇴근 패턴 혹은 규칙적인 행동을 보이고, 에이닷에서 미세먼지를 검색한 이력이 있으며, 네이버 날씨, 케이웨더 등 날씨 관련 어플이나 웹페이지 경험이 있고, 야외에 나가기 전 날씨 정보가 필요한 고객","{""titleTextPolite"":""오늘은 미세먼지가 많아요<br>건강을 위해 출근길에<br>마스크 꼭 챙기세요"",""contents"":""{{CARD_FINE_DUST}}"",""description"":""출퇴근 패턴 혹은 규칙적인 행동을 보이고, 에이닷에서 미세먼지를 검색한 이력이 있으며, 네이버 날씨, 케이웨더 등 날씨 관련 어플이나 웹페이지 경험이 있고, 야외에 나가기 전 날씨 정보가 필요한 고객""}",weather_1,#미세먼지 나쁨 #직장인 #출근 전
3,agentOffering,offering,nudge_5010,EVT_15292,"CGV, 롯데시네마, 메가박스 등 영화 예매 어플이나 웹페이지 경험이 있으며, 영화 관련 통화내역이 있고, tmap에서 영화 관련 장소를 검색했으며, 에이닷 미디어에서 장르 값(로맨스, 액션 등)이 설정된 영상을 시청한 적이 있는 고객","{""titleTextPolite"":""위클리 무비 업데이트<br>이번 주말에는 재미있는<br>영화 한 편 어때요?"",""contents"":""{{CARD_WEEKLY_MOVIE}}"",""messageSelector"":""{{MESSAGE_ATV_01}}"",""description"":""CGV, 롯데시네마, 메가박스 등 영화 예매 어플이나 웹페이지 경험이 있으며, 영화 관련 통화내역이 있고, tmap에서 영화 관련 장소를 검색했으며, 에이닷 미디어에서 장르 값(로맨스, 액션 등)이 설정된 영상을 시청한 적이 있는 고객""}",atv_1,"#atv#위클리무비#금요일,주말"
4,agentOffering,offering,nudge_5042,EVT_15181,"FLO, 멜론, 스포티파이 등 음악 관련 어플이나 웹페이지 경험이 있고, 음악, 공연, 노래와 관련된 전화 내역이 있으며, tmap에서 해당 관련 시설을 찾은 적이 있고, tdeal에서 스피커, 턴테이블 등 음향 기기에 관심이 있으며, 에이닷에서 뮤직 기능을 사용한 적 있고, 선호하는 음악 스타일이 있는 고객","{""titleTextPolite"":""주말에도 음악과 함께<br>{{ADOT_USER_NAME+이/가}} 좋아하는<br>{{MUSIC_INTEREST_GENRE_RANDOM}} 장르 모아봤어요"",""contents"":""{{CARD_RECOMMEND_GENRE_MUSIC_22}}"",""description"":""FLO, 멜론, 스포티파이 등 음악 관련 어플이나 웹페이지 경험이 있고, 음악, 공연, 노래와 관련된 전화 내역이 있으며, tmap에서 해당 관련 시설을 찾은 적이 있고, tdeal에서 스피커, 턴테이블 등 음향 기기에 관심이 있으며, 에이닷에서 뮤직 기능을 사용한 적 있고, 선호하는 음악 스타일이 있는 고객""}",music_22,#선호 장르 기반 음악 추천
5,agentOffering,offering,nudge_5072,EVT_15334,"T 멤버십 사용자이고, 에이닷에서 T 멤버십 혜택을 이용하며, 티월드 모바일 APP, WEB, 혹은 티월드 온라인 경험이 있는 고객","{""titleTextPolite"":""빵으로 출출함을 달래고<br>커피로 정신을 차리게 해 줄<br>일석이조의 T day 혜택"",""description"":""T 멤버십 사용자이고, 에이닷에서 T 멤버십 혜택을 이용하며, 티월드 모바일 APP, WEB, 혹은 티월드 온라인 경험이 있는 고객""}",tmembership_Day42,TdayDay42 #뚜레쥬르
6,agentOffering,offering,nudge_4954,EVT_15222,"여행지에 있고, 에이닷에서 음식점/카페 검색 이력이 있으며, 음식점/카페 관련 웹 검색을 했고, 에이닷 혼잡도 기록이 있으며, 근처 음식점/카페가 궁금할 것 같은 고객","{""titleTextPolite"":""점심 식사 후 힐링 시간<br>당신의 기분을 높여줄<br>카페 찾아왔어요"",""contents"":""{{CARD_RECOMMEND_RESTAURANT_02}}"",""description"":""여행지에 있고, 에이닷에서 음식점/카페 검색 이력이 있으며, 음식점/카페 관련 웹 검색을 했고, 에이닷 혼잡도 기록이 있으며, 근처 음식점/카페가 궁금할 것 같은 고객""}",restaurant_2,#직장인#평일#카페추천
7,agentOffering,offering,nudge_4939,EVT_15132,"출퇴근 패턴 혹은 규칙적인 행동을 보이며, tmap, 카카오T, UT(우티), 카카오맵 등 지도 관련 어플을 이용하고, tmap에서 교통 편의 관련 검색을 사용했으며, navigation/경로 정보가 필요하고, tmap, 패턴, 여행지 위치 확인 등으로 행동 로그를 유추하여 야외에 나가기 전 날씨 정보가 필요한 고객","{""titleTextPolite"":""오늘은 눈이 와요<br>혹시 차로 이동한다면<br>좀 더 일찍 출발하세요"",""contents"":""{{CARD_TMAP_GENERAL}}"",""description"":""출퇴근 패턴 혹은 규칙적인 행동을 보이며, tmap, 카카오T, UT(우티), 카카오맵 등 지도 관련 어플을 이용하고, tmap에서 교통 편의 관련 검색을 사용했으며, navigation/경로 정보가 필요하고, tmap, 패턴, 여행지 위치 확인 등으로 행동 로그를 유추하여 야외에 나가기 전 날씨 정보가 필요한 고객""}",mobility_5,#모빌리티#모빌리티 패턴 #눈오는 날#14세이상
8,agentOffering,offering,nudge_4942,EVT_15135,"지하철 탑승 패턴을 보이며, 카카오 지하철과 지하철 종결자 등 지하철 관련 어플을 사용하고, 에이닷에 지하철 혼잡도를 물어봤으며, 네이버 지도와 카카오맵 등 지도 관련 어플을 이용하며, 출발역과 거리가 가까운 고객","{""titleTextPolite"":""어떤 칸이 가장 편할까요?<br>지하철 승차 전<br>칸 별 혼잡도 체크하세요"",""contents"":""{{CARD_SUBWAY_CONGESTION_DEPARTURE}}"",""description"":""지하철 탑승 패턴을 보이며, 카카오 지하철과 지하철 종결자 등 지하철 관련 어플을 사용하고, 에이닷에 지하철 혼잡도를 물어봤으며, 네이버 지도와 카카오맵 등 지도 관련 어플을 이용하며, 출발역과 거리가 가까운 고객""}",congestion_1,#지하철 혼잡도 #NOW
9,agentOffering,offering,nudge_4973,EVT_15250,"등하교 패턴 혹은 규칙적인 행동을 보이고, 에이닷에서 미세먼지를 검색한 이력이 있으며, 네이버 날씨, 케이웨더 등 날씨 관련 어플이나 웹페이지 경험이 있고, 야외에 나가기 전 날씨 정보가 필요한 고객","{""titleTextPolite"":""오늘은 미세먼지가 많아요<br>학교 갈 때 잊지 말고<br>마스크 챙기세요"",""contents"":""{{CARD_FINE_DUST}}"",""description"":""등하교 패턴 혹은 규칙적인 행동을 보이고, 에이닷에서 미세먼지를 검색한 이력이 있으며, 네이버 날씨, 케이웨더 등 날씨 관련 어플이나 웹페이지 경험이 있고, 야외에 나가기 전 날씨 정보가 필요한 고객""}",weather_7,#미세먼지 나쁨 #초/중/고등학생 #등교길
